ref	longdesc	label	shortname	shortdesc	neurolex	latLng	circuit
67	The parahippocampal gyrus, also called periallocortex because of its transitional lamination structure in between isocortex and allocortex, consists of the entorhinal and perirhinal cortices. The general topographic connections between association isocortices and periallocortices are well mapped, but the actual specificity of laminar projections between associative cortices and periallocortices remains vague at best(Burwell, 2000; Lavenex et al., 2002; Witter et al., 1989). The periallocortex contains intralayer connectivity similar to regular isocortex with less lami- nar differentiation. The periallocortex is the neuronal interface between the isocortex and the hippocampus, since the isocortex does not typically project directly to the hippocampus. The afferent input and efferent output of the periallocortex can grossly be split into upper(PH23) and lower(PH56) layers respectively based on its projections with the isocortex and allocortex. To a lesser degree, the periallocortex receives subcortical input from the amygdala, claustrum, basal forebrain, thalamus, hypothalamus, and brainstem(Insausti et al., 1987).	Ref-unknown-L3_22_	Parahippocampal gyrus(periallocortex): Entorhinal & Perirhinal cortices	Neuroanatomically, periallocortex appears to facilitate medium-term storage of associations, temporally acting between short-term and long-term memory, capable of mapping source C3b representations to target C3b representations in the isocortex.	http://neurolex.org/wiki/Category:Parahippocampal_gyrus	75.149729, -178.372910	All	
68	The hippocampus proper, called allocortex due to its lack of lamination and different appearance from isocortex, is a full circuit in and of itself(Amaral & Witter, 1989). The hippocampus is functionally dominated by the dentate gyrus (DG), CA3 fields, CA1 fields, and subiculum (Sb). A simplified feedforward picture shows the projection circuit loop as: isocortex → PH23 → Dentate Gyrus → CA3 → CA1 → Subiculum → PH56 → isocortex. Multiple feedback connections exist within this path. The hippocampus essentially receives all the same subcortical input as parahippocampal cortex described above(Amaral & Cowan, 1980). The subcortical input being part of the limbic system would imply that the creation of associations is based upon emotion and/or significance driven by the limbic system.	Ref-unknown-L3_23_	Hippocampus(allocortex)	Neuroanatomically, the hippocampus appears to associate perceptions in the isocortex through mapped representations in periallocortex based upon emotional limbic context.	http://neurolex.org/wiki/Category:Hippocampus	74.676539, -173.982469	All	
52	SmD1 neurons are GABAergic spiny projection neurons found within the matrix por- tion of the striatum that express dopamine D1 receptors. The effect of dopamine on SmD1 neurons increases excitability(Surmeier et al., 2007). SmD1 is traditionally con- sidered part of the direct pathway through the basal ganglia because of its projections to Gpi/Snr(M. Levesque & Parent, 2005). The projection is topographically maintained from the striatum to Gpi/Snr(Haber et al., 1990).	Ref-unknown-L3_37_	SmD1 - Striatum matrix (Dopamine D1)	SmD1 appears as a C5s cortically evoked 'start' action mapping through the disinhibitory direct pathway SmD1->Gpi/Snr learned from positive dopamine reinforcement.	http://neurolex.org/wiki/Category:Striatum_matrix_medium_spiny_cell	78.015296, -114.553598	All	
24		Ref-unknown-L3_19_	Dentate Gyrus - Hippocampus	Part of the hippocampus. The primary afferent input to the dentate gyrus arises from the upper layers of the parahippocampal cortex PH23.  The primary efferent output of the dentage gyrus targets the CA1 fields. Feedback and other connections also exist.	http://neurolex.org/wiki/Category:Dentate_gyrus	77.532515, -166.122424	All	
25		Ref-unknown-L3_20_	CA1 Fields - Hippocampus	Part of the hippocampus. The primary afferent input to the CA1 fields arises from the dentate gyrus.  The primary efferent output of the CA1 fields targets the CA3 fields. Feedback and other connections also exist.	http://neurolex.org/wiki/Category:CA1	76.730883, -163.529249	All	
26	The hippocampus proper, called allocortex due to its lack of lamination and different appearance from isocortex, is a full circuit in and of itself(Amaral & Witter, 1989). The hippocampus is functionally dominated by the dentate gyrus (DG), CA3 fields, CA1 fields, and subiculum (Sb). A simplified feedforward picture shows the projection circuit loop as: isocortex → PH23 → Dentate Gyrus → CA3 → CA1 → Subiculum → PH56 → isocortex. Multiple feedback connections exist within this path. The hippocampus essentially receives all the same subcortical input as parahippocampal cortex described above(Amaral & Cowan, 1980). The subcortical input being part of the limbic system would imply that the creation of associations is based upon emotion and/or significance driven by the limbic system.	Ref-unknown-L3_21_	Hippocampus(allocortex)	Neuroanatomically, the hippocampus appears to associate perceptions in the isocortex through mapped representations in periallocortex based upon emotional limbic context.		77.009614, -158.923073	All	
27	The thalamus has a uniform organization and highly stereotyped reciprocal connections with the cerebral cortex. For the interested reader, the thalamic ”bible” written by the late Ted Jones is unparalleled in its descriptive depth of the thalamus(Jones, 2007). The thalamus is composed of multiple nuclei that can be identified histologically and by the source/target of their afferent/efferent projections(Macchi & Jones, 1997). The general organization of the thalamus leads us to divide the thalamus into three homotypical types: specific(Ts), intralaminar(Ti), and layer 1 projecting (TL1). The division into three types is novel and imparts a functional perspective to the target laminar location of thalamic neurons. Although thalamic neurons undoubtedly project to multiple layers, usually via collateral projections, we hypothesize that the function of a thalamocortical connection is most accurately defined by the target layer, hence separating the thalamic nuclei into the three dominant laminar projection types: layers 3/4(Ts), layers 5/6(Ti), and layer 1(TL1).	Ref-unknown-L3_24_	Thalamus	The thalamus has a uniform organization and highly stereotyped reciprocal connections with the cerebral cortex.	http://neurolex.org/wiki/Category:Hippocampus	76.149016, -152.926988	All	
20		Ref-unknown-L3_15_	PH56 Parahippocampal Cortex: upper layers 5/6	PH56 - PH56 is used to describe the lower layers in the periallocortex that send efferents to the isocortex with laminar distributions similar to intercortical association projections.  PH56 generally projects back topographically in a reciprocal manner to multimodal association isocortex.  PH56 receives afferent projections from the hippocampus.	http://neurolex.org/wiki/Category:Entorhinal_cortex	79.063943, -173.172886	All	
21		Ref-unknown-L3_16_	PH23 Parahippocampal Cortex: upper layers 2/3	PH23 is used to describe the upper layers in the periallocortex that receive afferents from the isocortex (typically C3b).  Input to PH23 is topographically organized and dominated by multimodal association isocortex.  PH23 sends efferent projections to the hippocampus.	http://neurolex.org/wiki/Category:Entorhinal_cortex	78.773731, -172.323235	All	
22		Ref-unknown-L3_17_	Subiculum - Hippocampus	Part of the hippocampus. The subiculum is the primary output of the hippocampus.  The primary afferent input to the Subiculum arise in the CA1 fields. The primary efferent output of the subiculum targets the lower layers of the parahippocampal cortex, PH56.   Feedback and other connections also exist.	http://neurolex.org/wiki/Category:Subiculum	77.650186, -170.050796	All	
23		Ref-unknown-L3_18_	CA3 Fields - Hippocampus	Part of the hippocampus. The primary afferent input to the CA3 fields arise in the CA1 fields.  The primary efferent output of the CA3 fields targets the subiculum.  Feedback and other connections also exist.	http://neurolex.org/wiki/Category:CA3	78.509723, -166.200531	All	
47	The Gpi/Snr is the source of the major GABAergic output from the basal ganglia. The Gpi and Snr are physically separated nuclei, with the Snr actually being directly adjacent to the Snc (hence the naming convention). However, from a neuroanatomical perspective these structures are functionally equivalent. The Gpi/Snr receives afferent input from all other basal ganglia nuclei, including the matrix striatum(M. Levesque & Parent, 2005; Haber et al., 1990), the Gpe(Sato et al., 2000), the STN(J. C. Levesque & Parent, 2005), and collateral projections from the Snc(Charara & Parent, 1994; Zhou et al., 2009).<br>The Gpi/Snr is tonically active(Zhou et al., 2009) and projects onto the intralaminar tha- lamus in a topographic pattern(M. Parent & Parent, 2004; M. Parent et al., 2001; Sidibe et al., 2002). The Gpi/Snr also send significant projections onto the ventral thalamus including TL1(Sidibe et al., 1997; Hazrati & Parent, 1991a).	Ref-unknown-L3_32_	Gpi/Snr - Globus Pallidus Internal Segment / Substantia Nigra pars Reticulata	Neuroanatomically, the Gpi/Snr appears to perform precise temporal action triggering in the intralaminar and ventral thalamus through disinhibition.	http://neurolex.org/wiki/Category:Globus_pallidus_internal_segment	76.985471, -130.495774	All	
48	The Gpe neurons are GABAergic neurons that primarily receive inhibitory projections from the SmD2 portion of the striatum(Haber et al., 1990; M. Levesque & Parent, 2005) and excitatory projections from the STN(Nambu et al., 2000; A. Parent et al., 1989). Gpe neurons project onto the Gpi/Snr, Stn, and send feedback connections onto the matrix portion of the striatum(Sato et al., 2000).<br>A potentially significant but rarely mentioned projection is the Gpe projection to the TRN of the ventral thalamus(Hazrati & Parent, 1991b; Asanuma, 1994; Gandia et al., 1993). Since the TRN provides inhibitory input to the thalamus, the Gpe projection to the TRN might be functionally analogous to the Gpe projection to the inhibitory Gpi/Snr that then projects onto the thalamus. The role of the ventral thalamus in control is notable.	Ref-unknown-L3_33_	Gpe - Globus Pallidus External Segment	Neuroanatomically, the Gpe appears to learn action stop triggering based on the input from SmD2 striatum projections.	http://neurolex.org/wiki/Category:Globus_pallidus_external_segment	77.203431, -125.410822	All	
28	The pulvinar(P) and lateral posterior (LP) nuclei are similar anatomically and generally project to temporal and parietal isocortex often involved in vision.  The anterior(A) and the lateral dorsal(LD) complex are grouped because of their anatomical similarities.  A and LD are generally related to the limbic cortex, such as cingular and retrosplenial cortex, and contain projections from the hippocampus and amygdala.  Note the complications in functional vs location based naming conventions, lateral nuclei not being grouped together.	Ref-unknown-L3_25_	Specific Thalamic Nuclei: P, LP, A, LD, MD	Pulvinar(P), Lateral Posterior(LP), Anterior(A), Lateral Dorsal(LD), Medial Dorsal(MD)	http://neurolex.org/wiki/Category:Pulvinar	77.226901, -156.668582	All	
5	Layer 1 of the cerebral cortex, referred to as the molecular layer, lies closest to the pial surface of the brain. The only neurons in L1 are inhibitory Cajal-Retzius cells containing long horizontal axons(Cajal, 2002; Gabbott & Bacon, 1996; Conde et al., 1994). L1 is composed of a dense plexus of dendritic tufts of pyramidal neurons combined with axons from cortical and subcortical origin. Many non-glutamate neurotransmitters systems (serotoninergic, adrenergic, cholinergic) appear to target the lower portions of layer 1(Eickhoff et al., 2007). The dense plexus of dendrites in L1 provides the opportunity for a given axon terminating in L1 to effect pyramidal neurons throughout all layers. The L1 neuroanatomical organization has profound significance for determining the function of neurons that project to layer 1.	Ref-unknown-L3_6_	Layer I	Neuroanatomically, cortical layer 1 appears to be a grouping of cortical pyramidal dendrites where a single axon projection can easily influence or activate multiple pyramidal neurons in cortical layers.	http://neurolex.org/wiki/Category:Neocortex_layer_1	84.362336, -173.661129	All	
4	The human cerebral cortex is a 2.5mm sheet of tissue approximately 2400cm2(four 8.5x11 pieces of paper) in size folded up around the entire brain(Toro et al., 2008). The cerebral cortex consists of a homotypical six layer pattern of neuron density distribution(Economo, 1929; No, 1943). The cerebral cortex develops layers inside out, with neurons in the most inner layer (L6) migrating into place first, while neurons in the outer layer (L2) migrate into place last moving through all other layers(Rakic, 1995). Cortical laminar differentiation lies along a very clear spectrum with input sensory cortex being the most laminated/granular and output motor cortex being the least laminated/granular(Economo, 1929). The lamination gradient represents a major clue in functional organization. The cerebral cortex can be grouped into the isocortex(neocortex), al- locortex(paleocortex), and koniocortex(primary vision, auditory, somatosensory, and granulous retrosplenial cortex) based on laminar differentiation and developmental origin. The koniocor- tices are based on the same underlying anatomical principles of six layers and have evolved additional structure for their more specific sensory roles(Northcutt & Kaas, 1995). The changes in laminar differentiation have been used to parse the entire cerebral cortex into distinct areas often called Brodmann’s areas(Brodmann, 1909; Triarhou, 2007). A large amount of experi- mental evidence on the cerebral cortex, from lesion studies to electrophysiology to FMRI, point to localized cortical information processing areas on the order of a few mm2(Catani & ffytche, 2005; Szentagothai, 1975). Each of these areas appears to process a distinct type of informa- tion reflecting the external and internal perceptions/behaviors of the individual, such as visual objects, language, executive plans, or movements(Penfield & Rasmussen, 1968; Tanaka, 2003; Goldman-Rakic, 1996; Grafton et al., 1996). The what of cortical information processing is thus highly localized and modular. The neuroanatomical organization within and between these what regions follows a very homotypical blueprint that drives the functional how information is processed perspective.	Ref-unknown-L3_5_	Cerebral Cortex (isocortex)	The cerebral cortex is the most significant neuroanatomical structure that distinguishes humans from all other organisms in cognitive ability.	http://neurolex.org/wiki/Special:Search?search=cerebral+cortex	84.636603, -173.661129	All	
7		Ref-unknown-L3_8_	Ipsilateral	Ipsilateral cortical projections travel through white matter fasicles targeting diverse regions in the same hemisphere and typically originate in C3a and C56 cells.		84.636603, -164.947814	All	
6		Ref-unknown-L3_7_	Contralateral cortex	Contralateral cortical projections usually target the local spatially analogous region of the other cortical hemisphere and originate in C3b cells.		84.636603, -169.422042	All	
9	C3a pyramidal neurons, of typical pyramidal shape, are distinguishable from layer 2 in isocortex because of their increased size and sparsity. In layer 3a the distance of intracortical horizontal projections increase into stripe like patches(Fujita & Fujita, 1996; Melchitzky et al., 2001; Lund et al., 1993). C3a cells often have long horizontal projections in lower layer 3b(Kritzer & Goldman-Rakic, 1995). C3a cells are the dominant source of intercortical projections to layer 4 of ipsilateral cortices(Figure 3)(Barbas, Hilgetag, et al., 2005; DeFelipe et al., 1986; Medalla & Barbas, 2006; Rockland, 1992).	Ref-unknown-L3_11_	C3a Pyramidal Neuron	Neuroanatomically, C3a appears to function as a corticocortical feedforward output system.	http://neurolex.org/wiki/Category:Layer_3_Pyramidal_Neuron	83.780769, -147.034447	All	
8	Layer 2 is referred to as the outer granular layer because of its similar granular structure as layer 4. The C2 neurons are small pyramidal neurons with local horizontal projections mostly to layer 2 and to layer 3(Barbas, Hilgetag, et al., 2005; Tanigawa et al., 1998; Soloway et al., 2002). Layer 2 is a primary target of ipsilateral feedback type cortical projections(Figure 3). The granular similarity of layer 2 to layer 4 implies that it performs a similar input functional role for feedback projections. C2 receives feedback input and propagates information horizontally and down to C3a and C3b, with upper layer 5 being the focus of infragranular projections(Kritzer & Goldman-Rakic, 1995).	Ref-unknown-L3_10_	C2 Pyramidal Neuron	Neuroanatomically, C2 appears to function as corticocortical feedback input system.		84.175479, -152.507182	All	
39	The STN is the only excitatory nucleus in the basal ganglia and utilizes glutamate. The STN appears to receive an excitatory topographically mapped isocortical afferent input from C5p neurons(M. Parent & Parent, 2006; Nambu et al., 2000) as well as inhibitory input from the Gpe(Sato et al., 2000). The STN projects prominently onto the Gpi/Snr and to the Gpe(A. Parent et al., 1989; Nambu et al., 2000). The STN has inhibitory GABAergic in- terneurons(J. C. Levesque & Parent, 2005).	Ref-unknown-L3_31_	STN - Subthalamic Nucleus	Neuroanatomically, the STN appears to provide a direct cortical mechanism to stop action triggering in the intralaminar thalamus through exciting the Gpi/Snr. A contrary hypothesis might suggest that the STN 'prepares' desired output actions in Ti for significant rebound action potentials through additional inhibitory stimulation from Gpi/Snr.	http://neurolex.org/wiki/Category:Subthalamic_nucleus	78.218297, -135.250487	All	
11	C6t cells send apical dendrites and intracortical axon projections to layer 3b in the isocor- tex(Jones & Wise, 1977; Peters et al., 1997; Lund et al., 1981; Rockland & Ichinohe, 2004) and layer 4 in koniocortex(Briggs & Callaway, 2001). Note the target layer of C6t intracortical axons and dendrites is the same as the target layer of the specific thalamic projection. The C6t cells project to local regions of the Ts in a reciprocal manner(Giguere & Goldman-Rakic, 1988; Mc- Farland & Haber, 2002; Catsman-Berrevoets & Kuypers, 1978; Trojanowski & Jacobson, 1977; Asanuma et al., 1985).	Ref-unknown-L3_64_	C6t Pyramidal Neuron	Neuroanatomically, C6t appears to function in conjunction with C3b and Ts to facilitate cortico-thalamocortical oscillations.	http://neurolex.org/wiki/Category:Neocortex_pyramidal_cell_layer_5-6	81.941574, -127.414673	All	
10	Lower layer 3b in the isocortex is centrally located to be the hub of perceptual information processing in the cerebral cortex. The large pyramidal neurons located in the lower part of layer 3, just above the granular layer 4 could be included in multiple circuits including long- term memory, working memory/information processing, and behavior output. The C3b cells have the classic pyramidal neuron shape and are usually the second largest pyramidal neuron group next to C5b(Jones & Wise, 1977; Barbas, Hilgetag, et al., 2005; Rempel-Clower & Barbas, 2000). The C3b intracortical projections involve some of the longest grey matter projections in the cerebral cortex(Kritzer & Goldman-Rakic, 1995; DeFelipe, 1997; Fujita & Fujita, 1996). The horizontal projections form stripe-like vertical patches and have all the same qualities described in the C3a group.<br>In the isocortex, different populations of pyramidal neurons tend to project contralaterally as opposed to ipsilaterally(Soloway et al., 2002). The contralateral projections arise from C3b cells and target the spatially analogous region of cortex on the other side of the brain, while ipsilateral projections mainly arise from C3a and C56. The same C3b cells appear to be the dominant source of isocortex → periallocortex projections(Burwell, 2000; Witter et al., 1989), responsible for communicating representations in the isocortex to the hippocampus for association.<br>The C3b cells appear to preferentially stain for acetylcholine with C5b cells(Hackett et al., 2001; Voytko et al., 1992), and have been shown to have preferential connections with C5b cells(Briggs & Callaway, 2005; Thomson & Bannister, 1998). In the agranular primary motor cortex, all layers visually look like a combination of C3b and C5b cells of various sizes.	Ref-unknown-L3_48_	C3b Pyramidal Neuron	Neuroanatomically, C3b appears to function as stable invariant perceptual representations in the cerebral cortex that are associated in short-term memory.	http://neurolex.org/wiki/Category:Layer_3_Pyramidal_Neuron	83.241959, -140.905894	All	
13	The C5p population refers to the collection of pons(and other subcortically) projecting pyra- midal cells found throughout the entire cerebral cortex(Hackett et al., 2001; Watakabe et al., 2006). C5p neurons are located in layer 5b(Foster et al., 1981), have large dendritic tufts in layer 1, and are distinct from C5s neurons(Molnar & Cheung, 2006; Morishima & Kawaguchi, 2006). The largest neurons in the isocortex are typically the C5p neurons. These neurons could also be referred as large Betz cells found in primary motor cortex(Braak & Braak, 1976) and we suggest that C5p function may be inferred through analogy. The projections from C5p neurons in primary motor cortex synapse directly with the spinal chord(Stanfield, 1992). The direct projection to the spinal chord is weak in lower mammals, but becomes increasingly prominent in primates, and presumably dominates in humans(Lemon & Griffiths, 2005). These C5b Betz cell projections are the most direct cortical pathway for the instantiation of physical movement and thus physical behavior. As a result, we can hypothesize that these neurons code directly for actions/behaviors. A correlation exists between C5p and C3p groups because there appears to be a preference for direct synaptic connections from C3b to C5p neurons potentially related to acetylcholine activity(Kaneko et al., 2000; Thomson & Deuchars, 1997; Thomson & Bannister, 1998).<br>C5p projections target the STN of the basal ganglia with collaterals to the striatum(Nambu et al., 2000; M. Parent & Parent, 2006). Evidence suggests that C5p striatal projections target the Sp patch(striosome) portion of the striatum, that then projects to the dopamine filled Snc(Gerfen, 1989, 1984). The C5p intracortical projections are not extensive, often restricted to short distances in layer 5(Ghosh & Porter, 1988), although their dendritic arborization is quite large.	Ref-unknown-L3_66_	C5p Pyramidal Neuron	Neuroanatomically, C5p neurons appear to form the behavioral output of the cerebral cortex.	http://neurolex.org/wiki/Category:Neocortex_pyramidal_cell_layer_5-6	82.222966, -107.357380	All	
12	C5s are pyramidal neurons in the isocortex that principally project to the striatum. C5s pyra- midal neurons are typically located in the upper portion of layer 5, layer 5a, with a prominent ascending dendrite that arborizes in L1(Jones et al., 1977; Yeterian & Pandya, 1994; Arikuni & Kubota, 1986). C5s send projections to the matrix portion of the striatum(Gerfen, 1989; Jones & Wise, 1977; M. Parent & Parent, 2006). C5s neurons are likely the source of cortical projections to the intralaminar thalamus that are distinct from C6t projections in the monkey(Catsman- Berrevoets & Kuypers, 1978) and cat(Kakei et al., 2001). C6t thalamic terminations are small and dense, while C5s synaptic terminals are large and sparse(Rouiller & Durif, 2004). The large terminals found in the TRN are likely a result of C5s collaterals(Zikopoulos & Barbas, 2006). In the rat, C5s and C5p neurons have been shown to be distinct populations(M. Levesque et al., 1996; Molnar & Cheung, 2006), with C5s having a higher probability of recurrent C5s→C5s connections(Morishima & Kawaguchi, 2006). Layer 5a intracortical projections have distant ∼1- 2mm projections in layers 2/3a, and slightly longer projections within the same layer 5a(Kritzer & Goldman-Rakic, 1995; Levitt et al., 1993).	Ref-unknown-L3_65_	C5s Pyramidal Neuron	Neuroanatomically, C5s appears to encode suggested action sequences within a cortical module for selection in the basal ganglia.	http://neurolex.org/wiki/Category:Neocortex_pyramidal_cell_layer_5-6	82.527537, -118.391077	All	
